match_id,team1,team2,team1_win_rate,team2_win_rate,win_rate_diff,team1_recent_wins,team2_recent_wins,recent_diff,h2h_rate,team1_avg_acs,team2_avg_acs,acs_diff,target
647397,Gen.G Global Academy,ARETE,0.5,0.5,0.0,0,0,0,0.5,219.7,180.3,39.4,1
642904,Leosun Esports,Gods Reign,1.0,0.0,1.0,2,0,2,0.5,200.8,219.2,-18.4,0
642917,Dragon Ranger Gaming,Xi Lai Gaming,0.5,0.5,0.0,0,0,0,0.5,202.4,205.3,-2.9,0
644709,FNATIC,Eternal Fire,0.5,0.5,0.0,0,0,0,0.5,188.6,201.5,-12.9,1
644710,Team Liquid,Karmine Corp,0.5,0.5,0.0,0,0,0,0.5,214.6,194.3,20.3,1
639899,Holy,F4TALITY,0.5,0.5,0.0,0,0,0,0.5,206.7,204.3,2.4,1
639900,Paysandu Esports,Remo Esports,0.5,0.5,0.0,0,0,0,0.5,203.1,188.7,14.4,1
648100,FENNEL,WEC C,0.333,0.5,-0.167,1,0,1,0.5,207.8,168.6,39.2,1
647398,Dplus Esports,ONSIDE GAMING,0.5,1.0,-0.5,0,1,-1,0.5,207.4,207.1,0.3,0
642918,Wolves Esports,Trace Esports,0.5,0.5,0.0,0,0,0,0.5,178.1,214.1,-36.0,0
648101,RIDDLE ORDER,Murash Gaming,0.0,0.5,-0.5,0,0,0,0.5,204.3,215.3,-11.0,0
647399,T1 Academy,Gen.G Global Academy,0.5,1.0,-0.5,0,1,-1,0.5,219.1,219.7,-0.6,0
642919,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),TYLOO,0.5,0.5,0.0,0,0,0,0.5,204.2,215.9,-11.7,0
644711,Team Vitality,GIANTX,0.5,0.5,0.0,0,0,0,0.5,193.7,186.3,7.4,1
644712,Gentle Mates,FUT Esports,0.5,0.5,0.0,0,0,0,0.5,192.3,190.3,2.0,0
639902,F4TALITY,Remo Esports,0.0,0.0,0.0,0,0,0,0.5,204.3,188.7,15.6,1
620364,Looking For Laburo,Polar Squad Esports GC,0.0,0.0,0.0,0,0,0,0.5,173.3,212.3,-39.0,1
639901,Holy,Paysandu Esports,1.0,1.0,0.0,1,1,0,0.5,206.7,203.1,3.6,1
620388,FUSION X,No Sweat Blossom,0.0,0.0,0.0,0,0,0,0.5,113.9,207.1,-93.2,0
644652,Gen.G,Global Esports,0.5,0.5,0.0,0,0,0,0.5,207.8,207.4,0.4,0
642920,Dragon Ranger Gaming,Nova Esports,0.0,0.0,0.0,0,0,0,0.5,202.4,171.9,30.5,1
644653,T1,VARREL,0.5,0.5,0.0,0,0,0,0.5,202.8,187.9,14.9,1
642921,FunPlus Phoenix,All Gamers,0.0,1.0,-1.0,0,1,-1,0.5,192.8,188.8,4.0,1
644713,Team Heretics,Natus Vincere,0.5,0.5,0.0,0,0,0,0.5,188.5,196.2,-7.7,0
644714,BBL Esports,PCIFIC Esports,0.5,0.5,0.0,0,0,0,0.5,175.9,184.1,-8.2,1
639903,Paysandu Esports,F4TALITY,0.5,0.5,0.0,1,1,0,0.5,203.1,204.3,-1.2,0
620362,KRÜ BLAZE,Olimpo Gold,1.0,1.0,0.0,1,1,0,0.5,204.2,210.7,-6.5,0
620386,Akave Esports GC,MYVRA GC,1.0,1.0,0.0,1,1,0,0.5,179.6,168.3,11.3,1
644654,Nongshim RedForce,Paper Rex,0.5,0.5,0.0,0,0,0,0.5,190.5,210.1,-19.6,0
642922,TYLOO,Wuxi Titan Esports Club(Titan Esports Club),1.0,0.0,1.0,1,0,1,0.5,215.9,195.2,20.7,1
644655,FULL SENSE,DetonatioN FocusMe,0.5,0.5,0.0,0,0,0,0.5,219.2,195.4,23.8,1
642923,Wolves Esports,EDward Gaming,0.0,1.0,-1.0,0,1,-1,0.5,178.1,229.8,-51.7,0
649758,Mandatory,Galions,0.667,0.5,0.167,2,0,2,0.5,195.2,183.8,11.4,0
649792,Misa Esports,Team SCARS,0.0,0.5,-0.5,0,0,0,0.5,222.6,183.8,38.8,1
649813,AKA HERO,CGN Esports,0.5,0.5,0.0,0,0,0,0.5,185.3,213.4,-28.1,0
649759,Esprit Shōnen,Caldya Esport,0.5,0.5,0.0,0,0,0,0.5,186.2,218.7,-32.5,0
650839,Stallions Esports,Axe,0.5,0.5,0.0,0,0,0,0.5,235.5,166.4,69.1,1
649793,Eternal Fire Passion,Bushido Wildcats,0.5,0.5,0.0,0,0,0,0.5,191.7,162.9,28.8,1
649814,eSports Cologne,RIZON,0.5,0.5,0.0,0,0,0,0.5,180.8,209.5,-28.7,0
650845,AlQadsiah Esports,MAYHEM,0.5,0.5,0.0,0,0,0,0.5,229.6,166.8,62.8,1
